ATF3.logFC	ATF3.PValue	ATF3.FDR	ATF4.logFC	ATF4.PValue	ATF4.FDR	CEBPG.logFC	CEBPG.PValue	CEBPG.FDR	CHOP.logFC	CHOP.PValue	CHOP.FDR
Wisp2	0.75396994030982	0.615667744825558	0.850878399459876	-5.70226975699829	0.249879019272286	0.556963184566092	-5.45535085396566	0.0814910271761164	0.211295915801606	1.26306327209221	0.647826664033963	0.869873259126876
Oxtr	8.88657913728162	0.00242203225869219	0.0349803645469903	-7.22297634515511	0.169797309624121	0.462272567198293	4.26372123124574	0.0373224662063794	0.121541453462024	6.23661534032856	0.0346954227383034	0.20780796105954
Lgr6	0.723043545280715	0.964115951475983	0.990917354481687	-4.28322677236069	0.42746299731455	0.715366803074156	3.89782098468429	0.082093713747758	0.212263839351684	1.33205101507365	0.731560688753624	0.907309694055339
Gm15179	5.39902112415731	0.344458340789951	0.678579398215098	-4.23688316034103	0.508821925926829	0.7747177395912	2.1085833957294	0.472217909186755	0.663401762002424	4.92854971456809	0.488856703242059	0.779247251190657
Dbh	-2.08957504411914	0.407322702286899	0.725845999281572	-13.9407516976202	0.00846582333743841	0.0906484527678127	-5.36947345389705	0.0444532059286422	0.137758213370747	-6.17354032466952	0.291799631722576	0.626198160110227
Pamr1	-2.94166738653496	0.395085213564568	0.717475923424949	-9.35069535662419	0.193194176689681	0.491024849010853	-7.37285775386644	0.0479426803842103	0.145745748367999	-6.31403023536431	0.222359290605823	0.553105327218831
Rassf6	4.36245846733974	0.411467705862314	0.728127098252775	7.93528509337419	0.179534952481524	0.474285136325361	2.66671446259009	0.31692945556376	0.521857842093433	3.96325959627561	0.447879955807291	0.750443894576934
Nhlh1	10.5613272619873	0.0111747304668025	0.0993696780979317	3.98732010767813	0.268439916345447	0.574623953296622	3.9966346709488	0.0717207629998198	0.193048094885302	9.59240402443523	0.0217732729818117	0.15526395662593
C1qtnf2	-2.25713741616163	0.408335098744894	0.726239662319016	-11.4382911775188	0.0886511957164493	0.328480053467233	-1.51177752399309	0.348772595940848	0.553658688320507	-2.3591866531606	0.453159812038712	0.754749417665652
Aldh3a1	12.0912177772831	0.0120618934257637	0.104806086168984	10.621830404902	0.999639034579016	1	3.48701091416804	0.999778316026477	1	9.16286522018407	0.0239572363580217	0.165484357278311
Msc	-0.308054979009103	0.979429948897144	0.996369347825581	-4.25917906876637	0.286348229257237	0.594170765650194	-0.840573730251163	0.784859262426312	0.890514172417513	-4.6908783341372	0.357817564968105	0.683729046040727
1700001C19Rik	-7.6350381985061	0.0324630903071893	0.19699036346804	5.14547613695468	0.309592137450479	0.614981865479855	0.0562661726975442	0.805494959137352	0.902973895453567	-11.7760836034288	0.0156477729555102	0.127905418749214
Gpr151	-9.3478182721007	0.0348479937304704	0.206186383831538	-15.4515707384936	0.00704453079578475	0.081806305339451	-8.21023631970186	0.0106636164121665	0.0486520385933956	-14.9705886096905	0.0102818806549333	0.0987753703367189
4933402D24Rik	0.304966103493275	0.960112340252297	0.990164707696416	-1.60009095991938	0.736866356037716	0.903644197378438	1.72713282528238	0.683444191536353	0.826220973861551	-2.28969991289887	0.584401305750011	0.83811576321404
Cysrt1	0.922004179852891	0.917765745910897	0.976589561610227	2.01461457412586	0.891252758736438	0.974513854747304	0.901195461979619	0.877707750615545	0.945972679662537	-1.85788291743312	0.685406509998275	0.887173667471842
F2	-2.77622169544472	0.282886040804488	0.619617176605193	5.30405201945387	0.964742911074355	1	-6.34299102279124	0.0450923020781963	0.13923408550689	-2.31731486158128	0.473590299315078	0.767960925757575
Marc1	-1.91846101279503	0.709564519239451	0.895861878248273	-18.8442499199643	0.00389612102090805	0.0591141118659609	-1.34320242630806	0.811344296539391	0.905908421209506	-9.29420661239288	0.128235284298407	0.42383988023406
Gpc5	4.62875238961915	0.117299779554055	0.400254535616232	1.2043596698113	0.41726177694092	0.707650848371608	-5.43217080240648	0.0495163241306344	0.149177086440072	2.96561413240618	0.256391005295203	0.592231013176815
Neu2	-8.88622534169718	0.0875757320274513	0.342833841917552	3.14677404080052	0.976205584463986	1	-7.38747850382368	0.0270887501953798	0.0965874803629267	-10.8299346487511	0.0773297405886392	0.324739333022036
4933422H20Rik	4.86711059959804	0.148267816954022	0.453168566563236	-0.70450548772047	0.653332550130062	0.860084190141124	-1.91155187129127	0.361491005191618	0.565863803439827	0.984805077210085	0.650261931568268	0.870161366133048
Accsl	-2.32939136809202	0.704917482811507	0.894685647820159	-12.0314120137966	0.20305266001813	0.504191396605065	0.123574449547446	0.974800697373441	0.994302796942005	-2.39993004074093	0.725834419064256	0.905111056580711
Ptprh	4.45355152913025	0.209537001779086	0.533196834884281	-9.09252082201137	0.157373187166771	0.444846921297735	6.61570927654068	0.0378706617385289	0.122835416488779	-1.13830005778565	0.846702157222952	0.955494416189038
Hist1h2bp	3.69830789821727	0.246143812908004	0.577792170087587	-8.22234825921127	0.642665157511832	0.854846809289098	-4.20637878070546	0.130892778489807	0.294002150317133	-3.01096101401557	0.348685672268582	0.676706726026535
Shisa3	-14.6808379277834	0.0014296547914073	0.0244195216822835	-2.47402089022446	1	1	-0.231755668172489	0.0115095395536912	0.0515892860729015	-20.7434684087133	0.00134949004408314	0.0259284042177772
Gm12169	8.30558197265148	0.0390432933036299	0.21947930552163	-3.69940747666817	0.99985539428234	1	6.93351970356459	0.037784772639561	0.122626610767981	1.37013086878311	0.999753303929625	1
Nanos2	-0.147181971625485	0.529135033235439	0.804782416208405	5.64221728376909	0.119725032954268	0.385646196652928	-6.00377367614955	0.0599480654425697	0.170775010220393	-2.02348171920542	0.801994472690593	0.937978125032382
Pnlip	-7.13771973231286	0.347542351901831	0.68136181686582	2.32653977332146	0.751757999003452	0.911512570584913	-6.58283613313128	0.329129024521996	0.53397593162487	-7.95402048513724	0.368637436510024	0.692638189684806
Bhlha9	-1.0711790926028	0.765955807251255	0.920374134213791	1.5795327203664	0.851368191578918	0.957411290017066	-3.5912704518839	0.0721062056962187	0.193870458711531	-4.59250133952449	0.162968965690791	0.47792305150275
Myom2	-6.83891627872749	0.236010882638619	0.565651742456756	-18.0231144564528	0.0411642910285175	0.217377767654807	0.195269558211391	0.920809452375614	0.968557645052777	-6.84133734814345	0.230252304548991	0.562246627169216
1700040L02Rik	6.20655581707257	0.245290942778895	0.577295584798627	5.43655819627498	0.257296908288317	0.563769666533397	1.88910137253389	0.605934513417556	0.772437764979888	6.14516085524567	0.309065151980545	0.642545825466628
